"Plot","SampleID","Sample_Type","Aquatic_Type","Date","Landcover","Latitude","Longitude","Temp_water_degC","pH","DO_per","Cond_uscm","TDS_mgL","mvorp","Velocity_m_s","Discharge_m3s","WindSpeed_mean_ms","Temp_air_degC","Slope","DistancetoOutlet_m","CN","conc_CH4_mM","conc_CO2_mM","DOC_mgL","TDN_mgL","del_DIC","pCO2_uatm","CO2Flux_gm2d","k600","NOSC_median","NOSC_mean","NOSC_std","GFE_median","GFE_mean","GFE_std","DBE_median","DBE_mean","DBE_std","AI_median","AI_mean","AI_std","Shannon_Diversity","Raos_Elemental_Comp","Amino_sugar","Carbohydrate","Cond_HC","Lignin","Lipid","Protein","Tannin","Unsat_HC","Other","dist_km"
"1","1SW","surface","Lake",2023-07-12,"Tundra",68.32284,19.01438,18.1,6.38,60.71,0.01,7,113.1,NA,NA,5.20895833333333,19.27625,0.0293656234503347,10396.3559118597,29.0099388321815,0.016296509,0.112075586,5.52638888,0.190499846,-11.47,1380.90468150046,0.723422170617344,1.55219885633458,-0.0869565217391308,-0.0845047910585937,0.506221674226195,62.7782608695652,62.7083865451699,14.4273177154466,11,11.5952667468913,4.30081854856093,-0.0625,-0.138329797241091,0.697557184912331,7.6108161417762,0.260013869223109,0.96,0.4,17.32,59.8,1.6,7.32,12.12,0.4,0.08,10.3963559118597
"10","10SW","surface","Stream",2023-07-13,"Tundra",68.33614,19.02826,13.39,6.92,52.8,0.07,33,120,0.007,0.000882,4.06270833333333,16.3475,0.167412483937415,4783.94956324014,14.7152684881021,0.126830886,0.502587088,2.397309786,0.162913085,-8.91,2587.55018686896,20.2299147691226,19.0705394067439,0,0.0264335482892368,0.53301747597148,60.3,59.5466438737568,15.1909980651872,12,11.9745425616547,3.7134943222195,-0.0909090909090909,-0.27071239075926,1.06529983752402,7.50332467707199,0.25814119834032,0.24,0.44,16.24,58.67,0.95,4.09,18.74,0.48,0.16,4.78394956324014
"11","11SW","surface","Stream",2023-07-13,"Tundra",68.33189,19.02481,8.87,7.32,57.7,0.03,34,104.7,0.329,0.05295255,4.06270833333333,16.3475,0.137416427930916,5305.77780561291,7.5886286436466,NA,0.430923631,1.631517109,0.214994986,-11.85,970.288499658817,74.6473635626605,257.971959974675,-0.206896551724138,-0.176895934641861,0.48292411386453,66.1965517241379,65.341534137293,13.7633372451391,11,11.3809125156969,4.02990130488334,-0.0769230769230769,-0.143754293366956,0.759330952370281,7.39552729929504,0.262223487239033,0.84,0.63,10.56,68.18,1.75,6.89,10.06,0.88,0.21,5.30577780561291
"12","12SW","surface","Stream",2023-07-13,"Forest",68.33618,19.03764,13.36,6.8,45.3,0.06,29,128.3,0.425,0.010635625,4.06270833333333,16.3475,0.141326834694476,4589.86759176674,20.2955128848451,0.329499066,0.440872871,4.093143023,0.20167724,-11.7,2772.24933142901,134.775887063325,117.19309642068,0.153846153846154,0.118716592633784,0.500516832782242,55.9153846153846,56.9165771099371,14.2647297342939,13,12.8141205873165,4.04808603499286,-0.0833333333333333,-0.256316205796712,1.11110484249467,7.73987394212388,0.258575109589077,0.28,0.53,20.51,56.26,0.37,2.53,19.04,0.25,0.22,4.58986759176674
"13","13SW","surface","Stream",2023-07-13,"Forest",68.3402,19.043,8.93,7.45,57.4,0.08,38,107.7,1.028,0.261112,4.06270833333333,16.3475,0.253601385706071,3930.66533846302,10.0040861571299,0.003151992,0.419812962,1.908750797,0.190797117,-6.77,724.813448798103,66.1883008616154,392.58213289625,-0.181818181818182,-0.140318731350273,0.489925247795199,65.4818181818182,64.2990838434828,13.9628695621632,12,12.1759388038943,3.87316183454831,-0.0625,-0.175623982328582,0.777680307257332,7.61089090592421,0.266919181411094,0.24,0.49,10.31,68.97,1.53,4.96,12.6,0.9,NA,3.93066533846302
"14","14SW","surface","Stream",2023-07-13,"Forest",68.34047,19.03561,6.97,6.86,58.2,0.08,39,125.9,0.339,0.026442,4.06270833333333,16.3475,0.175243047886881,4105.38018642345,NA,NA,0.550363294,2.21736943,NA,-12.99,2791.8498533918,129.585023271615,108.233888782319,-0.166666666666667,-0.137446945613135,0.478685264882521,65.05,64.2172379499743,13.6425300491519,12,11.7651093013288,4.01355336211383,-0.0625,-0.133340458051178,0.755526530143448,7.4183264158474,0.255739523715085,0.81,0.64,11.55,68.24,1.15,5.67,10.87,0.98,0.09,4.10538018642345
"15","15SW","surface","Stream",2023-07-13,"Forest",68.34556,19.0387,11.03,7.25,61.2,0.08,36,117.4,1.516,0.1221896,4.06270833333333,16.3475,0.111750710142503,3288.57535695979,15.5345224320108,0.008351387,0.483618988,2.55109602,0.164221078,-8.68,1293.42655036374,158.533933539698,358.357250040677,-0.153846153846154,-0.130312304605182,0.475369669297367,64.6846153846154,64.0139006812477,13.548035574975,12,12.4769001490313,4.0995716489282,-0.0555555555555556,-0.156427448320693,0.792226365771465,7.72234877463858,0.268809130484024,0.42,0.68,10.44,69.28,1.43,4.76,12.01,0.92,0.06,3.28857535695979
"16","16SW","surface","Stream",2023-07-13,"Peatland",68.34864,19.03685,17.88,7.12,50,0.07,33,86,0.003,4.5e-06,4.06270833333333,16.3475,0.0128276672541658,2909.66168695868,15.1377736869112,NA,0.419933661,3.914248832,0.258574934,-8.52,1608.2648079446,1.22546800325695,2.12933020800725,0,-0.0163573237616413,0.480023921591655,60.3,60.7661837272068,13.6806817653622,12,12.3018795550441,4.08135892932359,-0.0833333333333333,-0.224753896998545,0.936911717995476,7.61571164542327,0.26173922155619,0.57,0.65,15.06,62.11,0.54,3.95,16.51,0.61,NA,2.90966168695868
"17","17SW","surface","Stream",2023-07-14,"Forest",68.34618,19.01028,12.37,7.37,57.7,0.06,26,76.8,0.003,7.65e-05,4.38604166666667,12.97375,0.151466902823028,4639.45804736639,12.2915575535615,NA,0.3966514,4.435238932,0.360836201,-11.68,848.354064725679,0.622775461361685,2.84083719835703,-0.344827586206897,-0.33084934261279,0.368085086036788,70.1275862068966,69.7292062644645,10.4904249520485,13,12.491126403477,4.38607945321172,0,-0.0776200096570144,0.702301239469094,7.55414063452626,0.2664287961547,0.68,0.61,4.54,82.48,1.66,6.74,2.27,0.97,0.04,4.63945804736639
"18","18SW","surface","Stream",2023-07-14,"Forest",68.34156,19.01288,11.83,6.1,31.5,0.06,28,113.8,0.003,3e-05,4.38604166666667,12.97375,0.0207670286083784,5190.89904601651,17.3060270909915,NA,0.657000558,3.907971843,0.225815655,-16.74,9014.14893867817,2.45345640401468,0.586449555079663,-0.222222222222222,-0.202728871182644,0.42362592053924,66.6333333333333,66.0777728287053,12.0733387353683,12,11.6175115207373,3.61010650291694,0,-0.0832006526632779,0.756302732680947,7.18460476467954,0.242652508452818,0.23,0.69,8.63,75.1,1.21,4.95,8.4,0.81,NA,5.19089904601651
