"Aquatic_Type","Landcover","Class","slope_Universal","SE_Universal","p_value_fmt_Universal","R2_Universal","N_Universal","slope_Unique","SE_Unique","p_value_fmt_Unique","R2_Unique","N_Unique"
"Lake","Peatland","Amino sugar",0.00356,0.00688,"0.607",0.00445,62,0.0158,0.0476,"0.745",0.00781,16
"Lake","Peatland","Carbohydrate",-0.000932,0.00195,"0.633",0.00301,78,-0.057,0.0433,"0.209",0.11,16
"Lake","Peatland","Cond. HC",-0.00694,0.00234,"**0.0031**",0.00316,2760,-0.00876,0.00971,"0.369",0.00763,108
"Lake","Peatland","Lignin",-0.00135,0.00143,"0.343",6.69e-05,13400,-0.0524,0.015,"**0.000562**",0.0512,229
"Lake","Peatland","Lipid",-0.00312,0.00704,"0.658",0.000857,231,-0.0214,0.0198,"0.298",0.0828,15
"Lake","Peatland","Protein",-0.00151,0.00367,"0.68",0.000152,1120,-0.0796,0.0335,"**0.0229**",0.136,38
"Lake","Peatland","Tannin",-0.00243,0.00282,"0.388",0.000298,2500,-0.0492,0.0107,"**7.98e-06**",0.115,166
"Lake","Peatland","Unsat. HC",0.024,0.025,"0.349",0.0488,20,-0.0175,0.0206,"0.414",0.0615,13
"Lake","Tundra","Amino sugar",0.053,0.0633,"0.419",0.0552,14,NA,NA,NA,NA,2
"Lake","Tundra","Carbohydrate",-0.0271,0.0373,"0.478",0.034,17,NA,NA,NA,NA,1
"Lake","Tundra","Cond. HC",-0.0288,0.023,"0.212",0.00216,724,-0.254,0.211,"0.234",0.0191,76
"Lake","Tundra","Lignin",-0.0127,0.0141,"0.366",0.000267,3060,-0.929,0.322,"**0.00922**",0.293,22
"Lake","Tundra","Lipid",-0.0578,0.0671,"0.393",0.0126,60,-0.247,0.16,"0.262",0.544,4
"Lake","Tundra","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Lake","Tundra","Protein",-0.0242,0.0335,"0.472",0.00193,271,NA,NA,NA,NA,2
"Lake","Tundra","Tannin",-0.0638,0.0281,"**0.0233**",0.00881,584,NA,NA,NA,NA,1
"Lake","Tundra","Unsat. HC",0.115,0.302,"0.729",0.0459,5,NA,NA,NA,NA,NA
"Stream","Forest","Amino sugar",0.000539,0.00219,"0.806",0.00117,54,-0.0518,0.0203,"**0.0185**",0.237,23
"Stream","Forest","Carbohydrate",-0.000928,0.000731,"0.206",0.0129,125,-0.0156,0.0115,"0.186",0.0663,28
"Stream","Forest","Cond. HC",-0.00122,0.000911,"0.18",0.000607,2970,-0.0015,0.00983,"0.879",0.000248,96
"Stream","Forest","Lignin",-0.00165,0.000451,"**0.000251**",0.000645,20800,-0.00611,0.0034,"0.0729",0.00432,745
"Stream","Forest","Lipid",-0.0013,0.00246,"0.6",0.000854,325,0.011,0.0103,"0.29",0.0172,67
"Stream","Forest","Other",NA,NA,NA,NA,NA,-0.00578,0.0178,"0.762",0.0257,6
"Stream","Forest","Protein",0.000124,0.00115,"0.914",7.41e-06,1570,-0.00954,0.00549,"0.0849",0.0291,103
"Stream","Forest","Tannin",-0.00256,0.00107,"**0.0169**",0.00228,2500,-0.0116,0.0141,"0.415",0.0102,67
"Stream","Forest","Unsat. HC",0.00898,0.00747,"0.239",0.0491,30,-0.00643,0.00816,"0.434",0.0125,51
"Stream","Peatland","Amino sugar",0.00331,0.00212,"0.127",0.0573,42,NA,NA,NA,NA,2
"Stream","Peatland","Carbohydrate",-0.0011,0.000676,"0.106",0.0312,85,0.02,0.0208,"0.406",0.237,5
"Stream","Peatland","Cond. HC",-0.00161,0.00103,"0.116",0.00115,2160,-0.0127,0.00835,"0.267",0.537,4
"Stream","Peatland","Lignin",0.0016,0.000561,"**0.0043**",0.000655,12400,-0.0136,0.00968,"0.165",0.0347,57
"Stream","Peatland","Lipid",-0.00286,0.00353,"0.418",0.0041,162,-0.0347,0.0142,"**0.0294**",0.315,15
"Stream","Peatland","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Stream","Peatland","Protein",-0.000202,0.00161,"0.9",1.82e-05,867,-0.0249,0.00975,"**0.0194**",0.256,21
"Stream","Peatland","Tannin",0.00146,0.00128,"0.255",0.000711,1820,NA,NA,NA,NA,2
"Stream","Peatland","Unsat. HC",0.014,0.00596,"**0.0322**",0.256,18,-0.00223,0.00331,"0.526",0.0703,8
"Stream","Tundra","Amino sugar",0.000649,0.00448,"0.887",0.00139,17,NA,NA,NA,NA,2
"Stream","Tundra","Carbohydrate",0.00112,0.00136,"0.415",0.0186,38,0.0867,0.266,"0.776",0.0504,4
"Stream","Tundra","Cond. HC",0.000444,0.00137,"0.747",0.000103,1010,0.0038,0.00392,"0.378",0.158,7
"Stream","Tundra","Lignin",0.00508,0.000767,"**3.9e-11**",0.00734,5930,0.0415,0.0272,"0.151",0.152,15
"Stream","Tundra","Lipid",0.00391,0.00412,"0.345",0.00971,94,0.0153,0.023,"0.521",0.0423,12
"Stream","Tundra","Protein",0.00223,0.00191,"0.243",0.00294,464,-0.000903,0.0144,"0.952",0.000784,7
"Stream","Tundra","Tannin",-0.00198,0.00163,"0.224",0.00164,905,NA,NA,NA,0,4
"Stream","Tundra","Unsat. HC",0.0021,0.0141,"0.886",0.00274,10,-0.0091,0.0419,"0.864",0.0451,3
